지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
108,서울,2018-01-01,-1.3,,1.4,290,2.1,1016.8,6.14,1,-1.7
108,서울,2018-01-02,-1.8,,1.8,290,2.2,1018.1,5.36,2.3,-2.3
108,서울,2018-01-03,-4.7,,2.2,290,1.8,1019.9,6.56,3.6,-3.4
108,서울,2018-01-04,-4.7,,1.4,290,1.8,1016.5,4.73,6.5,-3.3
108,서울,2018-01-05,-3,,1.7,290,2.4,1010.3,5.96,3.6,-2.6
108,서울,2018-01-06,-2.8,,1.5,290,2.2,1012.9,6.79,0,-3.1
108,서울,2018-01-07,-.8,,.8,90,2.4,1010.7,3.75,7.5,-2.2
108,서울,2018-01-08,1.3,.9,1.8,270,3.4,1000.6,2.39,9,.4
108,서울,2018-01-09,-4.2,.5,2.9,290,2.7,1002.8,5.6,3.5,-1.2
108,서울,2018-01-10,-7.5,.3,3,290,1.8,1007.9,6.85,.9,-2.9
108,서울,2018-01-11,-11.1,,2.8,290,1.3,1015.9,6.8,.4,-5.6
108,서울,2018-01-12,-10.2,0,1.7,290,1,1020.6,7.11,2.3,-6.1
108,서울,2018-01-13,-4.4,.4,.8,50,3,1021.1,2.8,8.3,-2.8
108,서울,2018-01-14,.6,,1.2,90,4,1017.9,4.55,7,-1.1
108,서울,2018-01-15,4.7,.2,1.4,290,5.4,1012.8,4.67,7.6,1.5
108,서울,2018-01-16,3.5,0,.7,20,4.6,1007.6,2.4,9.8,.7
108,서울,2018-01-17,4.5,,1.2,290,5.4,1007.2,4.17,7.4,1.7
108,서울,2018-01-18,2.1,0,1.9,290,4.3,1012.9,,8.6,1.3
108,서울,2018-01-19,1,,1.6,290,2.8,1013.5,6.56,3.8,.3
108,서울,2018-01-20,2.2,,1.6,270,4.2,1012,4.51,5.1,.2
108,서울,2018-01-21,.4,,1,290,2.2,1012.7,5.88,2,-.5
108,서울,2018-01-22,.2,3.3,1.5,290,3.5,1005.2,1.91,9.4,-.2
108,서울,2018-01-23,-11.7,,3.7,290,1.1,1013.4,7.62,.3,-4.4
108,서울,2018-01-24,-14.2,,3.4,290,.7,1018.3,7.73,0,-8.3
108,서울,2018-01-25,-14,,2.8,340,.7,1019.1,7.28,3.6,-8.5
108,서울,2018-01-26,-14.8,,2.6,320,.7,1018.9,,0,-9.3
108,서울,2018-01-27,-9.9,,1.4,270,1.1,1017.8,7.5,1.8,-7.5
108,서울,2018-01-28,-6.3,,2.6,290,1.4,1011.6,6.38,3.3,-4.4
108,서울,2018-01-29,-8.5,,2.7,270,1.1,1013,7.68,.1,-6.2
108,서울,2018-01-30,-5.3,2.9,1.3,200,2.8,1014.7,5.41,5.8,-4.6
108,서울,2018-01-31,-2.6,0,1.6,290,2.7,1016.6,3.9,7.4,-1.8
108,서울,2018-02-01,-4,,1.6,290,1.9,1018.3,8.09,0,-3.1
108,서울,2018-02-02,-2.4,,1.6,290,2.5,1017.5,7.29,1.9,-2.8
108,서울,2018-02-03,-7.3,.5,3.8,290,1.7,1017.2,13.65,1.3,-3.7
108,서울,2018-02-04,-9.5,,3.1,290,1.2,1017.3,13.65,0,-6.6
108,서울,2018-02-05,-9.4,,3,290,1.1,1015.1,14.31,.1,-6.8
108,서울,2018-02-06,-10.1,,3.1,290,1,1014.4,14.13,1.1,-6.9
108,서울,2018-02-07,-8,,1.5,290,1.2,1015.4,13.39,1,-6.1
108,서울,2018-02-08,-4.4,,1.2,20,1.8,1014,13.05,.3,-3.9
108,서울,2018-02-09,.4,,1.1,230,2.8,1011.8,6.56,9.1,-1.3
108,서울,2018-02-10,-.5,,3,290,3.1,1010.9,9.41,6.5,.2
108,서울,2018-02-11,-6.1,0,2.7,270,1.7,1011.3,12.26,3.5,-3.4
